Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"TERGYNAN, comprimé vaginal"
"TERIFLUNOMIDE 14 mg, comprimé pelliculé"
"TERIFLUNOMIDE 14 mg, comprimé pelliculé sécable"
"TERIPARATIDE 20 microgrammes/80 microlitres, solution injectable en stylo prérempli"
"TERLIPRESSINE ALTAN 1 mg/8,5 mL, solution injectable"
"TERLIPRESSINE SUN 1 mg/8,5 mL, solution injectable"
"TERLOMEXIN 200 mg, capsule molle vaginale"
"TERPINE GONNON 0,5 POUR CENT, solution buvable"
"TERPONE, sirop"
"TERROSA 20 microgrammes/80 microlitres, solution injectable"
"TERROSA 20 microgrammes/80 microlitres, solution injectable en stylo prérempli"
"TESTAVAN 20 mg/g, gel transdermique"
"TESTOSTERONE BESINS 1000 mg/4 mL, solution injectable"
"TESTOSTERONE DESMA 250 mg/1 mL, solution injectable"
"TETMODIS 25 mg, comprimé sécable"
"TETRACAINE 1 POUR CENT THEA, collyre en solution en récipient unidose"
"TETRALYSAL 150 mg, gélule"
"TETRALYSAL 300 mg, gélule"
"TETRAVAC-ACELLULAIRE, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire et poliomyélitique (inactivé), adsorbé"
"TEVAGRASTIM 30 MUI/0,5 ml, solution injectable ou pour perfusion"
"TEVAGRASTIM 48 MUI/0,8 ml, solution injectable ou pour perfusion"
"TEZSPIRE 210 mg, solution injectable en seringue préremplie"
"TEZSPIRE 210 mg, solution injectable en stylo prérempli"
"THAIS 25 microgrammes/24 heures, dispositif transdermique"
"THAIS 50 microgrammes/24 heures, dispositif transdermique"
"THAISSEPT 25 microgrammes/24 heures, dispositif transdermique"
"THAISSEPT 50 microgrammes/24 heures, dispositif transdermique"
"THALIDOMIDE 50 mg, gélule"
"THALIDOMIDE BMS 50 mg, gélule"
"THEOSTAT 100 mg A LIBERATION PROLONGEE, comprimé sécable"
"THEOSTAT 200 mg A LIBERATION PROLONGEE, comprimé sécable"
"THEOSTAT 300 mg A LIBERATION PROLONGEE, comprimé sécable"
"THERACAP131, Iodure(131I) de sodium pour thérapie, gélule"
"THERALENE 4 POUR CENT, solution buvable"
"THERALENE 5 mg, comprimé pelliculé sécable"
"THERASOLV 100 000 UI, poudre pour solution injectable/pour perfusion"
"THERASOLV 250 000 UI, poudre pour solution injectable/pour perfusion"
"THERASOLV 500 000 UI, poudre pour solution injectable/pour perfusion"
"THIOCOLCHICOSIDE 4 mg, comprimé"
"THIOCOLCHICOSIDE 4 mg, comprimé sécable"
"THIOPENTAL 1 g, poudre pour solution injectable"
"THIOPENTAL 500 mg, poudre pour solution injectable"
"THIOPENTAL VUAB 1 g, poudre pour solution injectable"
"THIOPENTAL VUAB 500 mg, poudre pour solution injectable"
"THIOTEPA FRESENIUS KABI 100 mg, poudre pour solution à diluer pour perfusion"
"THIOTEPA FRESENIUS KABI 15 mg, poudre pour solution à diluer pour perfusion"
"THIOTEPA GENOPHARM 15 mg, lyophilisat pour usage parentéral"
"THIOTEPA RIEMSER 100 mg, poudre pour solution à diluer pour perfusion"
"THIOTEPA RIEMSER 15 mg, poudre pour solution à diluer pour perfusion"
"THIOVALONE, suspension pour pulvérisation buccale"
"THYMOGLOBULINE 5 mg/ml, poudre pour solution pour perfusion"
"THYROFIX 100 microgrammes, comprimé"
"THYROFIX 112 microgrammes, comprimé"
"THYROFIX 125 microgrammes, comprimé"
"THYROFIX 13 microgrammes, comprimé"
"THYROFIX 137 microgrammes, comprimé"
"THYROFIX 150 microgrammes, comprimé"
"THYROFIX 175 microgrammes, comprimé"
"THYROFIX 200 microgrammes, comprimé"
"THYROFIX 25 microgrammes, comprimé"
"THYROFIX 50 microgrammes, comprimé"
"THYROFIX 62 microgrammes, comprimé"
"THYROFIX 75 microgrammes, comprimé"
"THYROFIX 88 microgrammes, comprimé"
"THYROGEN 0,9 mg, poudre pour solution injectable"
"THYROZOL 10 mg, comprimé pelliculé sécable"
"THYROZOL 20 mg, comprimé pelliculé sécable"
"THYROZOL 5 mg, comprimé pelliculé sécable"
"TIADILON 100 mg, gélule"
"TIANEPTINE 12,5 mg, comprimé enrobé"
"TIAPRIDAL 100 mg, comprimé sécable"
"TIAPRIDAL 100 mg/2 ml, solution injectable"
"TIAPRIDAL 138 mg/ml, solution buvable"
"TIAPRIDE 100 mg, comprimé sécable"
"TIBERAL 1 g, solution injectable pour perfusion"
"TIBERAL 500 mg, solution injectable pour perfusion"
"TIBERAL, comprimé"
"TIBOLONE 2,5 mg, comprimé"
"TIBOLONE CCD 2,5 mg, comprimé"
"TIBSOVO 250 mg, comprimé pelliculé"
"TICAGRELOR 90 mg, comprimé pelliculé"
"TICLID 250 mg, comprimé pelliculé"
"TICLOPIDINE 250 mg, comprimé pelliculé"
"TICOVAC 0,25 ml ENFANTS, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (virus entier inactivé)"
"TICOVAC 0,5 ml ADULTES, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (virus entier inactivé)"
"TIENAM 500 mg/500 mg, poudre pour solution pour perfusion"
"TIGECYCLINE 50 mg, poudre pour solution pour perfusion"
"TIGECYCLINE HIKMA 50 mg, poudre pour solution pour perfusion"
"TIGREAT 2,5 mg, comprimé pelliculé"
"TILCOTIL 20 mg, comprimé pelliculé sécable"
"TILDIEM 100 mg, poudre pour solution injectable (IV)"
"TILDIEM 25 mg, poudre et solution pour préparation injectable I.V."
"TILDIEM 60 mg, comprimé"
"TIMABAK 0,25 %, collyre en solution"
"TIMABAK 0,50 %, collyre en solution"
"TIMACOR 10 mg, comprimé sécable"
"TIMIFIT, sirop"
"TIMOFEROL 50 mg, comprimé enrobé"
"TIMOFEROL, gélule"
"TIMOLOL 0,25 POUR CENT, collyre en solution"
"TIMOLOL 0,50 POUR CENT, collyre en solution"
"TIMOLOL IMMEDICA 0,50 POUR CENT, collyre"
"TIMOPTOL 0,25 %, collyre en solution"
"TIMOPTOL 0,50 %, collyre en solution"
"TIMOPTOL L.P. 0,25 %, collyre en solution"
"TIMOPTOL L.P. 0,50 %, collyre en solution"
"TIORFAN 10 mg NOURRISSONS, poudre orale en sachet-dose"
"TIORFAN 100 mg, gélule"
"TIORFAN 30 mg ENFANTS, poudre orale en sachet-dose"
"TIORFAN 4 mg/mL NOURRISSONS ET ENFANTS, suspension buvable"
"TIORFANOR 175 mg, comprimé pelliculé"
"TIORFAST 100 mg, gélule"
"TIOTROPIUM 18 microgrammes, poudre pour inhalation en gélule"
"TIOTROPIUM EOLIP 18 microgrammes, poudre pour inhalation en gélule"
"TIPUREX, comprimé"
"TIPUREX, solution buvable en gouttes"
"TIROFIBAN ALTAN 50 microgrammes/mL, solution pour perfusion"
"TIROFIBAN MEDAC 50 microgrammes/ml, solution pour perfusion"
"TISANE MEDIFLOR N°1 MINCEUR, plantes pour tisane en sachet-dose"
"TISANE PROVENCALE N°1, plantes pour tisane en sachet"
"TISSEEL, solutions pour colle"
"TITANOREINE, suppositoire"
"TIVICAY 10 mg, comprimé pelliculé"
"TIVICAY 25 mg, comprimé pelliculé"
"TIVICAY 5 mg, comprimé dispersible"
"TIVICAY 50 mg, comprimé pelliculé"
"TIXOCORTOL 1 %, suspension nasale"
"TIXOCORTOL 1%, suspension nasale"
"TIXTAR 550 mg, comprimé pelliculé"
"TOBI 300 mg/5 ml, solution pour inhalation par nébuliseur"
"TOBI PODHALER 28 mg, poudre pour inhalation en gélule"
"TOBRABACT 0,3 %, collyre en solution"
"TOBRADEX, collyre en suspension"
"TOBRAMYCINE 300 mg/5 mL, solution pour inhalation par nébuliseur"
"TOBRAMYCINE SUN 300 mg/5 mL, solution pour inhalation par nébuliseur"
"TOBREX 0,3 %, collyre en solution"
"TOBREX 0,3 %, pommade ophtalmique"
"TOCO 500 mg, capsule molle"
"TOCOLION, capsule molle"
"TOCTINO 10 mg, capsule molle"
"TOCTINO 30 mg, capsule molle"
"TODEXAL 3 mg/1 mg par ml, collyre en suspension"
"TOFRANIL 10 mg, comprimé enrobé"
"TOFRANIL 25 mg, comprimé enrobé"
"TOLEXINE 100 mg, microgranules en comprimé"
"TOLEXINE 50 mg, microgranules en comprimé"
"TOLURA 40 mg, comprimé"
"TOLURA 80 mg, comprimé"
"TOLVAPTAN 15 mg, comprimé + TOLVAPTAN 45 mg, comprimé"
"TOLVAPTAN 30 mg, comprimé + TOLVAPTAN 60 mg, comprimé"
"TOLVAPTAN 30 mg, comprimé + TOLVAPTAN 90 mg, comprimé"
"TOMUDEX 2 mg, poudre pour solution pour perfusion"
"TOPALGIC 100 mg/2 ml, solution injectable en ampoule"
"TOPALGIC 100 mg/ml, solution buvable"
"TOPALGIC 50 mg, gélule"
"TOPALGIC LP 100 mg, comprimé à libération prolongée"
"TOPALGIC LP 150 mg, comprimé à libération prolongée"
"TOPALGIC LP 200 mg, comprimé à libération prolongée"
"TOPIRAMATE 100 mg, comprimé pelliculé"
"TOPIRAMATE 200 mg, comprimé pelliculé"
"TOPIRAMATE 25 mg, comprimé pelliculé"
"TOPIRAMATE 50 mg, comprimé pelliculé"
"TOPLEXIL 0,33 mg/ml SANS SUCRE, solution buvable édulcorée à l'acésulfame potassique"
"TOPLEXIL 0,33 mg/ml, sirop"
"TOPOTECAN HOSPIRA 4 mg/4ml, solution à diluer pour perfusion"
"TOPOTECANE 1 mg/ml, solution à diluer pour perfusion"
"TOPREC 1 mg/ml ENFANTS ET NOURRISSONS, sirop"
"TOPREC 25 mg, comprimé"
"TORISEL 30 mg, solution à diluer et solvant pour solution pour perfusion"
"TOT'HEMA, solution buvable en ampoule"
"TOUJEO 300 unités/ml DoubleStar, solution injectable en stylo prérempli"
"TOUJEO 300 unités/ml SoloStar, solution injectable en stylo prérempli"
"TOVIAZ 4 mg, comprimé à libération prolongée"
"TOVIAZ 8 mg, comprimé à libération prolongée"
"TOXICARB, suspension buvable"
"TRABECTEDINE 0,25 mg, poudre pour solution à diluer pour perfusion"
"TRABECTEDINE 1 mg, poudre pour solution à diluer pour perfusion"
"TRABECTEDINE EVER PHARMA 0,25 mg, poudre pour solution à diluer pour perfusion"
"TRABECTEDINE EVER PHARMA 1 mg, poudre pour solution à diluer pour perfusion"
"TRABECTEDINE SUN 0,25 mg, poudre pour solution à diluer pour perfusion"
"TRABECTEDINE SUN 1 mg, poudre pour solution à diluer pour perfusion"
"TRACLEER 125 mg, comprimé pelliculé"
"TRACLEER 32 mg, comprimé dispersible"
"TRACLEER 62,5 mg, comprimé pelliculé"
"TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule"
"TRACRIUM 250 mg/25 ml, solution injectable"
"TRACRIUM 50 mg/5 ml (1 POUR CENT), solution injectable en ampoule"
"TRACTOCILE 37,5 mg/5 ml, solution à diluer pour perfusion"
"TRACTOCILE 6,75 mg/0,9 ml, solution injectable"
"TRACUTIL, solution à diluer pour perfusion"
"TRAMADOL 100 mg/2 mL, solution injectable/pour perfusion"
"TRAMADOL 50 mg, comprimé"
"TRAMADOL 50 mg, comprimé effervescent"
"TRAMADOL 50 mg, gélule"
"TRAMADOL GENERIQUES LP 100 mg, comprimé à libération prolongée"
"TRAMADOL GENERIQUES LP 150 mg, comprimé à libération prolongée"
"TRAMADOL HCS 50 mg, gélule"
"TRAMADOL KRKA LP 100 mg, comprimé à libération prolongée"
"TRAMADOL KRKA LP 150 mg, comprimé à libération prolongée"
"TRAMADOL KRKA LP 200 mg, comprimé à libération prolongée"
"TRAMADOL L.P. 100 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL L.P. 100 mg, comprimé à libération prolongée"
"TRAMADOL L.P. 100 mg, gélule à libération prolongée"
"TRAMADOL L.P. 150 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL L.P. 150 mg, comprimé à libération prolongée"
"TRAMADOL L.P. 150 mg, gélule à libération prolongée"
"TRAMADOL L.P. 200 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL L.P. 200 mg, comprimé à libération prolongée"
"TRAMADOL L.P. 200 mg, gélule à libération prolongée"
"TRAMADOL LAVOISIER 50 mg/ml, solution injectable"
"TRAMADOL LP 100 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL LP 100 mg, comprimé à libération prolongée"
"TRAMADOL LP 150 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL LP 150 mg, comprimé à libération prolongée"
"TRAMADOL LP 200 mg, comprimé pelliculé à libération prolongée"
"TRAMADOL LP 200 mg, comprimé à libération prolongée"
"TRAMADOL LP 50 mg, comprimé à libération prolongée"
"TRAMADOL/PARACETAMOL 37,5 mg/325 mg, comprimé effervescent"
"TRAMADOL/PARACETAMOL 37,5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL 37.5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL GENERIQUES 37,5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL KRKA 37,5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL PHARMA 37,5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL SUBSTIPHARM 37,5 mg/325 mg, comprimé pelliculé"
"TRAMADOL/PARACETAMOL SUN 37,5 mg/325 mg, comprimé pelliculé"
"TRANDATE 200 mg, comprimé pelliculé"
"TRANDATE 5 mg/ml, solution injectable"
"TRANDOLAPRIL 0,5 mg, gélule"
"TRANDOLAPRIL 2 mg, gélule"
"TRANDOLAPRIL 4 mg, gélule"
"TRANQUITAL, comprimé enrobé"
"TRANSACALM 100 mg, comprimé"
"TRANSILANE SANS SUCRE, poudre pour suspension buvable édulcorée à l'aspartam en sachet"
"TRANSILANE, poudre pour suspension buvable"
"TRANSILANE, poudre pour suspension buvable en sachet"
"TRANSIPEG 2,95 g, poudre pour solution buvable en sachet"
"TRANSIPEG 5,9 g, poudre pour solution buvable en sachet"
"TRANSIPEGLIB 5,9 g, poudre pour solution buvable en sachet"
"TRANSLARNA 1000 mg, granulés pour suspension buvable"
"TRANSLARNA 125 mg, granulés pour suspension buvable"
"TRANSLARNA 250 mg, granulés pour suspension buvable"
"TRANSULOSE, gelée orale en pot"
"TRANSVERCID 14,54 mg/12 mm, dispositif pour application cutanée"
"TRANSVERCID 3,62 mg/6 mm, dispositif pour application cutanée"
"TRANXENE 10 mg, gélule"
"TRANXENE 20 mg, gélule"
"TRANXENE 20 mg/2 ml, lyophilisat et solution pour usage parentéral"
"TRANXENE 5 mg, gélule"
"TRASYLOL 500 000 UIK/50 mL, solution injectable"
"TRAVATAN 40 microgrammes/mL, collyre en solution"
"TRAVOPROST 40 microgrammes/mL, collyre en solution"
"TRAVOPROST 40 microgrammes/ml, collyre en solution"
"TRAVOPROST/TIMOLOL 40 microgrammes/5 mg par mL, collyre en solution"
"TRAVOPROST/TIMOLOL 40 microgrammes/mL + 5 mg/mL, collyre en solution"
"TRAZIMERA 150 mg, poudre pour solution à diluer pour perfusion"
"TRAZIMERA 420 mg, poudre pour solution à diluer pour perfusion"
"TRECONDI 1 g, poudre pour solution pour perfusion"
"TRECONDI 5 g, poudre pour solution pour perfusion"
"TRELEGY ELLIPTA 92 microgrammes/55 microgrammes/22 microgrammes, poudre pour inhalation en récipient unidose"
"TREMFYA 100 mg ONEPRESS, solution injectable en stylo prérempli"
"TREMFYA 100 mg, solution injectable en seringue préremplie"
"TREPOSUVI 1 mg/ml, solution pour perfusion"
"TREPOSUVI 10 mg/ml, solution pour perfusion"
"TREPOSUVI 2,5 mg/ml, solution pour perfusion"
"TREPOSUVI 5 mg/ml, solution pour perfusion"
"TREPROSTINIL REDDY PHARMA 1 mg/mL, solution pour perfusion"
"TREPROSTINIL REDDY PHARMA 10 mg/mL, solution pour perfusion"
"TREPROSTINIL REDDY PHARMA 2,5 mg/mL, solution pour perfusion"
"TREPROSTINIL REDDY PHARMA 5 mg/mL, solution pour perfusion"
"TREPROSTINIL TILLOMED 1 mg/mL, solution pour perfusion"
"TREPROSTINIL TILLOMED 10 mg/mL, solution pour perfusion"
"TREPROSTINIL TILLOMED 2,5 mg/mL, solution pour perfusion"
"TREPROSTINIL TILLOMED 5 mg/mL, solution pour perfusion"
"TRESIBA 100 unités/ml, solution injectable en cartouche"
"TRESIBA 200 unités/ml, solution injectable en stylo prérempli"
"TREVICTA 175 mg, suspension injectable à libération prolongée"
"TREVICTA 263 mg, suspension injectable à libération prolongée"
"TREVICTA 350 mg, suspension injectable à libération prolongée"
"TREVICTA 525 mg, suspension injectable à libération prolongée"
"TRH FERRING 200 microgrammes/1 ml, solution injectable"
"TRIACEFAN 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)"
"TRIAFEMI CONTINU, comprimé"
"TRIAFEMI, comprimé"
"TRIATEC 1,25 mg, comprimé"
"TRIATEC 10 mg, comprimé sécable"
"TRIATEC 2,5 mg, comprimé sécable"
"TRIATEC 5 mg, comprimé sécable"
"TRIENTINE WAYMADE 200 mg, gélule"
"TRIFLUCAN 10 mg/ml, poudre pour suspension buvable"
"TRIFLUCAN 100 mg, gélule"
"TRIFLUCAN 2 mg/ml, solution pour perfusion"
"TRIFLUCAN 200 mg, gélule"
"TRIFLUCAN 40 mg/ml, poudre pour suspension buvable"
"TRIFLUCAN 50 mg, gélule"
"TRIHEXY 2 mg RICHARD, comprimé"
"TRIHEXY 5 mg RICHARD, comprimé"
"TRILEPTAL 150 mg, comprimé pelliculé"
"TRILEPTAL 300 mg, comprimé pelliculé"
"TRILEPTAL 60 mg/ml, suspension buvable"
"TRILEPTAL 600 mg, comprimé pelliculé"
"TRIMBOW 172 microgrammes/ 5 microgrammes/ 9 microgrammes, solution pour inhalation en flacon pressurisé"
"TRIMBOW 87 microgrammes/5 microgrammes/9 microgrammes, solution pour inhalation en flacon pressurisé"
"TRIMBOW 88 microgrammes/5 microgrammes/9 microgrammes, poudre pour inhalation"
"TRIMEBUTINE 100 mg, comprimé"
"TRIMEBUTINE 200 mg, comprimé"
"TRIMEBUTINE 200 mg, comprimé pelliculé"
"TRIMEBUTINE CONSEIL 100 mg, comprimé"
"TRIMEBUTINE GENERIQUES 100 mg, comprimé"
"TRIMEBUTINE MEDISOL 50 mg/5 mL, solution injectable"
"TRIMEBUTINE PFIZER 100 mg, comprimé pelliculé"
"TRIMEBUTINE PFIZER 200 mg, comprimé pelliculé"
"TRIMEBUTINE SUBSTIPHARM 200 mg, comprimé"
"TRIMEBUTINE SUN 200 mg, comprimé"
"TRIMETAZIDINE 20 mg, comprimé pelliculé"
"TRIMETAZIDINE 35 mg, comprimé pelliculé à libération modifiée"
"TRINARA CONTINU, comprimé pelliculé"
"TRINARA, comprimé pelliculé"
"TRINIPATCH 10 mg/24 heures, dispositif transdermique (44,8 mg / 14 cm²)"
"TRINIPATCH 15 mg/24 heures, dispositif transdermique (67,2 mg / 21 cm²)"
"TRINIPATCH 5 mg/24 heures, dispositif transdermique (22,4 mg / 7 cm²)"
"TRINITRINE 10 mg/24 heures, dispositif transdermique"
"TRINITRINE 5 mg/24 heures, dispositif transdermique"
"TRINORDIOL, comprimé enrobé"
"TRIPLIXAM 10 mg/2,5 mg/10 mg, comprimé pelliculé"
"TRIPLIXAM 10 mg/2,5 mg/5 mg, comprimé pelliculé"
"TRIPLIXAM 5 mg/1,25 mg/10 mg, comprimé pelliculé"
"TRIPLIXAM 5 mg/1,25 mg/5 mg, comprimé pelliculé"
"TRISENOX 2 mg/mL, solution à diluer pour perfusion"
"TRISEQUENS, comprimé pelliculé"
"TRIUMEQ 5 mg/60 mg/30 mg, comprimé dispersible"
"TRIUMEQ 50 mg/600 mg/300 mg, comprimé pelliculé"
"TRIVASTAL 20 mg, comprimé enrobé"
"TRIVASTAL 50 mg L.P., comprimé enrobé à libération prolongée"
"TRIVERAM 10 mg/5 mg/5 mg, comprimé pelliculé"
"TRIVERAM 20 mg/10 mg/10 mg, comprimé pelliculé"
"TRIVERAM 20 mg/10 mg/5 mg, comprimé pelliculé"
"TRIVERAM 20 mg/5 mg/5 mg, comprimé pelliculé"
"TRIVERAM 40 mg/10 mg/10 mg, comprimé pelliculé"
"TRIXEO AEROSPHERE 5 microgrammes/7,2 microgrammes/160 microgrammes, suspension pour inhalation en flacon pressurisé"
"TRIZIVIR 300 mg / 150 mg / 300 mg, comprimé pelliculé"
"TRODELVY 200 mg, poudre pour solution à diluer pour perfusion"
"TROLAMINE 0,67 %, émulsion pour application cutanée"
"TROLAMINE CONSEIL 0,67 %, émulsion pour application cutanée"
"TROLISE 1 mg, comprimé pelliculé"
"TROLISE 2 mg, comprimé pelliculé"
"TROLISE 4 mg, comprimé pelliculé"
"TROLOVOL 300 mg, comprimé pelliculé"
"TROMBOVAR 1 POUR CENT I.V., solution injectable"
"TROMBOVAR 3 POUR CENT I.V., solution injectable"
"TRONOTHANE 1 POUR CENT, gel pour application locale"
"TROPHIGIL, gélule vaginale"
"TROSPIPHARM 20 mg, comprimé pelliculé"
"TROXERUTINE 3,5 g, poudre pour solution buvable en sachet-dose"
"TRUE TEST 36, patch pour test épicutané"
"TRULICITY 0,75 mg, solution injectable en stylo prérempli"
"TRULICITY 1,5 mg, solution injectable en stylo prérempli"
"TRULICITY 3 mg, solution injectable en stylo pré-rempli"
"TRULICITY 4,5 mg, solution injectable en stylo pré-rempli"
"TRUMENBA, suspension injectable en seringue préremplie. Vaccin méningococcique groupe B (recombinant, adsorbé)"
"TRUSOPT 20 mg/ml, collyre en solution"
"TRUVADA 200 mg/245 mg, comprimé pelliculé"
"TRUXIMA 100 mg, solution à diluer pour perfusion"
"TRUXIMA 500 mg, solution à diluer pour perfusion"
"TSOLUDOSE 100 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 112 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 125 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 13 microgrammes, solution buvable en récipient unidose"
TSOLUDOSE 137 microgrammes solution buvable en récipient unidose
"TSOLUDOSE 150 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 175 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 200 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 25 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 50 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 75 microgrammes, solution buvable en récipient unidose"
"TSOLUDOSE 88 microgrammes, solution buvable en récipient unidose"
"TUBERTEST, solution injectable, dérivé protéinique purifié de tuberculine"
"TUKYSA 150 mg, comprimé pelliculé"
"TUKYSA 50 mg, comprimé pelliculé"
"TUSSIDANE 1,5 mg/ml SANS SUCRE, solution buvable édulcorée au maltitol liquide et à la saccharine sodique"
"TUSSIDANE 1,5 mg/ml, sirop"
"TUSSIDANE 30 mg, comprimé pelliculé sécable"
"TUSSIPAX, comprimé pelliculé"
"TUSSIPAX, sirop"
"TUSSISEDAL, sirop"
"TWICOR 10 mg/10 mg, comprimé pelliculé"
"TWICOR 20 mg/10 mg, comprimé pelliculé"
"TWINRIX ADULTE, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)"
"TWYNSTA 40 mg/10 mg, comprimé"
"TWYNSTA 40 mg/5 mg, comprimé"
"TWYNSTA 80 mg/10 mg, comprimé"
"TWYNSTA 80 mg/5 mg, comprimé"
"TYAVAX, suspension et solution pour suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé) et typhoïdique polyosidique"
"TYENNE 162 mg, solution injectable en seringue préremplie"
"TYENNE 162 mg, solution injectable en stylo prérempli"
"TYENNE 20 mg/mL, solution à diluer pour perfusion"
"TYGACIL 50 mg, poudre pour solution pour perfusion"
"TYPHIM Vi, solution injectable en seringue préremplie. Vaccin typhoïdique polyosidique"
"TYRUKO 300 mg, solution à diluer pour perfusion"
"TYSABRI 150 mg, solution injectable en seringue préremplie"
"TYSABRI 300 mg, solution à diluer pour perfusion"
"TYVERB 250 mg, comprimé pelliculé"
"UBISTESIN ADRENALINEE au 1/100 000, solution injectable"
"UBISTESIN ADRENALINEE au 1/200 000, solution injectable"
"UCEDANE 200 mg, comprimé dispersible"
"ULCAR 1 g, suspension buvable en sachet"
"ULIPRISTAL ACETATE 30 mg, comprimé pelliculé"
"ULIPRISTAL ACETATE EXELTIS 30 mg, comprimé pelliculé"
